Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,67.93056,0,0,102.58,130.053,6.868259,0,0,0,0,0,0,87,87,0,0
0.9999993,B,0.9999993,0.3164839,-0.697217,0.954683,-0.6112792,911.0276,63.9016,11.21518,-7.347573,100.7384,129.5986,7.215042,421.233094463624,418.1032,51.2546,369.398980341966,367.8034,26.96173,83.9755,85.80745,175.6442,10.70635
1.999998,B,1.999998,0.6202139,-0.03199409,0.9616277,-0.02066002,653.4713,60.12241,42.5275,-0.9212388,98.8968,130.0374,7.785144,294.963751098547,293.0437,33.60066,717.326613020381,713.7177,64.52956,84.21825,84.83375,730.1535,57.84015
2.999998,B,2.999998,0.8535411,0.003143416,0.9851934,0.003516674,584.4929,57.14212,79.97846,0.2869551,97.05521,130.0504,8.24879,252.094561285782,250.3277,29.79447,982.926359358214,977.5559,95.27441,84.01102,84.43343,1580.895,138.0798
3.999997,B,3.999997,1.058174,0.001587013,1.857779,0.001830036,594.69,54.24364,222.382,0.2197448,95.21362,135.5127,10.07476,188.891056049163,187.3012,24.45591,1212.96345035472,1205.891,123.4596,83.81131,84.1544,2679.573,247.9583
5.00002,B,5.00002,1.195612,0.001473957,2.164326,0.001616677,591.7426,51.33679,314.5628,0.2354568,93.37198,135.6903,10.57959,141.814289222758,140.3676,20.20469,1363.97437637341,1355.515,144.3396,83.61695,83.92187,3964.54,382.1727
6.000038,S,0.18,1.244409,0.03266328,0.7662715,0.005608802,0,24.25408,69.31802,0.5064898,53.15,59.2467,1.95407,-123.968050052497,-123.5101,-10.64578,1410.2562221936,1401.118,152.949,83.50655,83.77014,5373.677,534.6183
7.000038,S,1.179999,1.147815,-0.005061061,0.7817288,-0.000695876,0,24.25408,56.8378,-0.05051184,53.15,59.3041,1.972469,-107.433351167748,-107.1118,-8.305856,1294.96403329595,1286.121,143.7432,83.29522,83.6228,6715.356,682.8272
8.000036,S,2.179998,1.063361,-0.001298485,0.7902292,-0.0002457681,0,24.25408,46.69568,-0.01449996,53.15,59.36495,1.991971,-93.9795916234428,-93.71574,-7.037309,1194.69279683728,1186.059,136.0349,83.10627,83.45705,7949.833,822.6121
9.000036,S,3.179997,0.9909383,0.001239513,0.7046442,0.0002242469,0,24.25408,34.31227,0.01090434,53.15,59.53923,2.047829,-77.5592921536071,-77.37495,-5.344241,1109.06019701749,1100.549,129.8015,82.89838,83.27347,9091.276,955.3779
10.00004,S,4.180001,0.930919,0.002576925,0.6162511,0.0005194094,0,24.25408,25.41646,0.02139531,53.15,59.69939,2.099164,-65.7672440862343,-65.63966,-4.094561,1038.12229756648,1029.636,125.1324,82.67149,83.07079,10155.02,1082.737
11.00006,S,5.180024,0.8785924,0.003757556,0.5814075,0.0007727875,0,24.25408,20.51575,0.02723587,53.15,59.78165,2.125527,-59.2710806717928,-59.17215,-3.423108,976.389360417103,967.8594,121.4453,82.42468,82.848,11152.94,1205.973
12.00008,S,6.180047,0.8932451,0.002741305,0.5022663,0.0005884808,331.6486,24.03416,17.62848,0.02081685,53.00666,59.78227,2.171672,388.526277817685,384.248,57.49907,993.867550249614,984.5602,128.3629,82.15534,82.57191,12098.35,1326.646
13.00011,S,7.180069,1.298841,0.001751947,0.6270592,0.0003232745,361.6925,22.35539,44.30234,0.02297529,52.21048,59.25559,2.258048,424.963573613542,420.0582,64.38282,1437.66524886268,1423.428,194.4919,81.93162,82.21951,13300.76,1487.386
14.00013,S,8.180092,1.687622,0.001175208,0.66251,0.0002121589,358.3131,20.77048,73.86073,0.02375733,51.41431,59.24886,2.511072,408.816829182014,403.8484,63.54266,1855.75261312951,1836.59,258.663,81.76019,81.98327,14934.04,1714.011
15.00015,S,9.180115,2.07948,0.0007210293,0.5433336,0.0001320846,354.2606,19.21644,84.41479,0.02059746,50.61814,59.02528,2.694597,420.00771583501,414.7486,66.25768,2269.04005061321,2244.802,323.4319,81.61862,81.80123,16975.65,2004.803
16.00018,S,10.18014,2.45643,0.0006031774,0.4445524,0.0001080463,90.57389,17.82845,86.77902,0.02108727,49.82196,58.66778,2.835198,-25.489086038426,-25.45078,1.396891,2651.13368991371,2622.008,384.5628,81.49983,81.65607,19428.03,2361.274
17.0002,S,11.18016,2.328067,0.0006866698,0.619328,0.0001218778,0,17.77836,97.0885,0.01907423,49.59119,58.82185,2.958546,-207.575385643993,-205.9595,-25.85005,2486.74580936954,2458.674,365.2598,81.38348,81.54996,21986.38,2739.025
18.00022,S,12.18018,2.168102,0.000753985,0.656478,0.0001336345,0,17.77836,80.32087,0.01632513,49.59119,58.96899,3.005704,-177.23272550873,-175.9028,-21.67127,2295.21431923432,2268.534,341.6095,81.25609,81.4364,24346.53,3092.112
19.00024,S,13.18021,2.029578,0.0008669918,0.6927272,0.0001546928,0,17.77836,67.23586,0.01499283,49.59119,59.04892,3.031325,-153.554712123217,-152.4478,-18.40429,2130.4971596737,2104.943,321.653,81.1178,81.31194,26530.5,3423.471
20.00027,S,14.18023,1.90786,0.0009756993,0.7300966,0.0001728577,0,17.77836,56.98384,0.01347319,49.59119,59.08989,3.044455,-135.00348269441,-134.0709,-15.8409,1986.77871131526,1962.139,304.5948,80.96801,81.17606,28561.79,3736.382
21.00029,S,15.18025,1.799153,0.001082812,0.7675046,0.0001924557,0,17.77836,49.71595,0.01245023,49.59119,59.13804,3.059887,-121.851222313383,-121.0384,-14.05084,1859.39178728158,1835.499,289.7866,80.80608,81.02825,30458.88,4033.42
22.00031,S,16.18027,1.700001,0.001281866,0.7982465,0.0002269686,0,17.77836,42.34099,0.01202404,49.59119,59.25109,3.096121,-108.507568128816,-107.8217,-12.18086,1744.29382764645,1721.02,276.6564,80.63115,80.86775,32235.5,4316.49
23.00034,S,17.1803,1.613231,0.001658475,0.776262,0.0002944997,0,17.77836,34.00599,0.01288663,49.59119,59.23651,3.091448,-93.4325649552149,-92.89878,-9.973007,1643.96047083485,1621.137,265.6501,80.44323,80.69385,33904.83,4587.461
24.00036,S,18.18032,1.537573,0.002147104,0.7632564,0.0003797845,0,17.77836,27.84055,0.01383842,49.59119,59.23289,3.090289,-82.2838258711919,-81.86076,-8.333305,1556.60246875375,1534.073,256.5424,80.24216,80.5063,35481.09,4848.419
25.00038,S,19.18034,1.470204,0.002722541,0.7564353,0.0004833422,0,17.77836,23.09859,0.01474473,49.59119,59.23389,3.090608,-73.7112615949232,-73.37192,-7.064803,1479.02942433028,1456.669,248.8748,80.02715,80.30451,36975.35,5101.023
26.0004,S,20.18037,1.409254,0.003458699,0.7540984,0.0006122927,0,17.77836,19.34325,0.01569098,49.59119,59.23769,3.091828,-66.9242984839793,-66.65005,-6.052484,1409.11180425877,1386.816,242.3397,79.79757,80.08791,38396.18,5346.544
27.00043,S,21.18039,1.353391,0.004362558,0.7551596,0.0007698354,0,17.77836,16.30119,0.01660289,49.59119,59.2439,3.093816,-61.4283467891516,-61.20579,-5.224276,1345.32781790961,1323.006,236.7184,79.55257,79.85572,39750.32,5586.005
28.00045,S,22.18041,1.3014,0.005445049,0.7589355,0.0009612229,0,17.77836,14.08376,0.01782184,49.59119,59.25235,3.096527,-57.4222811000269,-57.23543,-4.628598,1286.31738407575,1263.892,231.8081,79.29108,79.60699,41043.14,5820.222
29.00047,S,23.18044,1.25225,0.006721335,0.7650539,0.00118152,0,17.77836,12.25504,0.01890969,49.59119,59.2632,3.100004,-54.1191764999424,-53.96098,-4.134961,1230.95556120372,1208.36,227.4366,79.01173,79.34055,42278.72,6049.803
30.0005,S,24.18046,1.205422,0.008292791,0.7733393,0.001455913,0,17.77836,10.7329,0.02018865,49.59119,59.27667,3.10432,-51.3702639284423,-51.23519,-3.722811,1178.64449913101,1155.816,223.5161,78.71324,79.05503,43460.34,6275.247
31.00052,S,25.18048,1.160514,0.01019814,0.7801671,0.001783814,0,17.77836,9.410339,0.02149778,49.59119,59.29338,3.109678,-48.9825269091183,-48.86715,-3.359999,1128.91808414904,1105.796,219.9781,78.394,78.74892,44590.7,6496.963
32.00054,S,26.1805,1.117287,0.01252891,0.7846644,0.002187467,0,17.77836,8.247893,0.02297354,49.59119,59.31451,3.116448,-46.8846352277736,-46.78623,-3.036067,1081.48239849485,1058.005,216.7846,78.05224,78.42041,45672.18,6715.318
33.00056,S,27.18053,1.070693,0.01539402,0.7894661,0.00267752,0,17.77836,7.247862,0.02456041,49.59119,59.34725,3.126943,-45.080274616214,-44.99603,-2.754713,1036.04236318618,1012.147,213.8939,77.68594,78.06742,46706.89,6930.633
34.00059,S,28.18055,1.025679,0.01839378,0.7558096,0.003287983,0,17.77836,6.073197,0.02639756,49.59119,59.43316,3.154477,-42.9663847346344,-42.89988,-2.389668,992.488833126011,968.1079,211.2998,77.29236,77.68768,47696.61,7143.2
35.00061,S,29.18057,0.9830713,0.0215542,0.6930598,0.00403906,0,17.77836,4.889323,0.02847027,49.59119,59.54567,3.190537,-40.8407588309711,-40.79185,-1.998138,951.26381181917,926.3113,209.1141,76.86936,77.27876,48643.44,7353.375
36.00063,S,30.1806,0.942515,0.02528568,0.6333389,0.004945448,0,17.77836,3.932745,0.03068314,49.59119,59.65239,3.224743,-39.1254954931947,-39.08966,-1.67418,912.021174322083,886.4091,207.2845,76.41463,76.83804,49549.43,7561.547
37.00066,S,31.18062,0.9036371,0.02976972,0.5833995,0.006054179,0,17.77836,3.194657,0.03312426,49.59119,59.75422,3.257381,-37.8031354459868,-37.77642,-1.420965,874.399248313651,848.0383,205.7497,75.92518,76.3625,50416.33,7768.042
38.00064,S,32.18061,0.8658328,0.03637575,0.582059,0.007422395,0,17.77836,2.812408,0.03583274,49.59119,59.75957,3.259098,-37.114514757023,-37.0915,-1.306841,837.810328933342,810.6167,204.3882,75.39843,75.84846,51245.41,7973.102
39.00048,S,33.18044,0.8287786,0.04460201,0.5809815,0.009104061,0,17.77836,2.476429,0.03877162,49.59119,59.75401,3.257315,-36.5090339003046,-36.48913,-1.205383,801.946850490383,773.8358,203.1333,74.82932,75.2916,52037.4,8176.855
40.00031,S,34.18027,0.7924075,0.05491382,0.5797924,0.01121219,0,17.77836,2.179001,0.04209979,49.59119,59.74705,3.255084,-35.9727010928499,-35.95543,-1.114575,766.743849660121,737.6216,201.9746,74.21294,74.68669,52792.9,8379.403
41.00014,S,35.1801,0.7566632,0.06791867,0.5784768,0.01387662,0,17.77836,1.915257,0.04590053,49.59119,59.73827,3.252269,-35.4966530790555,-35.48161,-1.033311,732.147412759306,701.9097,200.9019,73.54378,74.02772,53512.45,8580.833
41.99997,S,36.17994,0.7215021,0.08432874,0.5770187,0.01724258,0,17.77836,1.68107,0.05018549,49.59119,59.7272,3.248722,-35.0733454558382,-35.06019,-0.9605408,698.115042766601,666.6452,199.9059,72.81535,73.30767,54196.52,8781.23
