Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,66.27865,0,0,102.58,124.6589,5.51972,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,0.9927502,0,258.4948,66.27865,0,0,102.561,124.6589,5.524484,93.3678216110629,93.1365736487435,6.56724914766022,7.45904792127689,0.9313657,0.06567249,87,87,0.004656828,0.0003283624
0.02,B,0.02,0.010,0,0.9927503,0,510.7058,66.27234,0.00489005,0,102.5419,124.6589,5.529247,215.812550907828,215.422100852762,12.9759621425977,8.13807442042663,3.085587,0.1954321,87,87,0.02474159,0.001633885
0.03,B,0.03,0.010,0,0.9927503,0,762.9168,66.2534,0.005820893,0,102.5228,124.6589,5.534011,338.359389063628,337.803368807067,19.3896928832825,10.0719241116679,6.463621,0.389329,87,87,0.07248763,0.004557691
0.04,B,0.04,0.010,0,0.9927503,0,763.8398,66.22185,0.008916011,0,102.5038,124.6589,5.538774,338.982819894438,338.425952949902,19.4223210130967,12.6366217698075,9.84788,0.5835522,87,87,0.1540451,0.009422096
0.05,B,0.05,0.01094519,0,0.9899474,0,764.7629,66.18395,0.01399519,0,102.4847,124.6589,5.543538,339.641598362517,339.083836687389,19.4567992127595,15.5269580909078,13.23872,0.7781202,87,87,0.2694781,0.01623046
0.05999999,B,0.05999999,0.01344865,0,0.9795607,0,765.6861,66.14601,0.02090775,0,102.4657,124.6589,5.548301,340.300538388859,339.741881720792,19.4912860674404,18.5952834943445,16.63614,0.9730331,87,87,0.4188524,0.02498623
0.06999999,B,0.06999999,0.01610629,0,0.9667975,0,767.0008,66.10802,0.02959665,0,102.4466,124.6589,5.553065,341.150146365191,340.590335700708,19.535751643336,21.7713349688834,20.04204,1.168391,87,87,0.6022434,0.03569335
0.07999999,B,0.07999999,0.01885723,0,0.9535145,0,768.3156,66.06998,0.04001257,0,102.4276,124.6589,5.557828,342.000267387286,341.439301977523,19.5802440760288,25.0175951524113,23.45643,1.364193,87,87,0.8197357,0.04835626
0.08999999,B,0.08999999,0.02166899,0,0.9405595,0,769.6304,66.03187,0.05211631,0,102.4085,124.6589,5.562592,342.850953564176,342.288832589772,19.6247660927573,28.3130131782309,26.87932,1.560441,87,87,1.071414,0.06297944
0.09999999,B,0.09999999,0.02452334,0,0.9282758,0,771.0193,65.99369,0.06587828,0,102.3895,124.6589,5.567356,343.738271335649,343.174944981858,19.6712052889255,31.6453505595384,30.31107,1.757153,87,87,1.357366,0.07956741
0.11,B,0.11,0.02740967,0,0.9167717,0,772.4082,65.95544,0.08127751,0,102.3704,124.6589,5.572119,344.626201594585,344.061668985082,19.7176763517275,35.0066883582251,33.75169,1.95433,87,87,1.67768,0.09812482
0.12,B,0.12,0.03032113,0,0.9060513,0,773.7971,65.91713,0.09829697,0,102.3513,124.6589,5.576883,345.514806827006,344.949066978477,19.7641829424287,38.3918016365058,37.20118,2.151972,87,87,2.032445,0.1186563
0.13,B,0.13,0.03325319,0,0.8960741,0,775.129,65.87875,0.1169235,0,102.3323,124.6589,5.581646,346.376186825329,345.809276673016,19.8092646643172,41.7968506180621,40.65927,2.350065,87,87,2.421747,0.1411665
0.14,B,0.14,0.03620254,0,0.8867832,0,776.461,65.8403,0.1371452,0,102.3132,124.6589,5.58641,347.238234637786,346.67015322327,19.8543813431808,45.2193206099129,44.12597,2.548609,87,87,2.845673,0.1656599
0.15,B,0.15,0.03916698,0,0.8781175,0,777.793,65.80179,0.1589538,0,102.2942,124.6589,5.591173,348.100912630074,347.531659046272,19.8995310104578,48.657381348326,47.60128,2.747604,87,87,3.304309,0.192141
0.16,B,0.16,0.04214494,0,0.8700175,0,779.2581,65.76321,0.1823434,0,102.2751,124.6589,5.595937,349.029252949516,348.458737932453,19.9481170294136,52.1103385558817,51.08587,2.947085,87,87,3.797745,0.2206144
0.17,B,0.17,0.04513581,0,0.8624272,0,780.7231,65.72456,0.207314,0,102.2561,124.6589,5.6007,349.958381033772,349.386603443786,19.9967444798729,55.5771566639021,54.57973,3.147052,87,87,4.326073,0.2510851
0.18,B,0.18,0.0481387,0,0.8552976,0,782.1884,65.68583,0.2338629,0,102.237,124.6589,5.605464,350.888325378889,350.315284060298,20.0454144620143,59.0570646522374,58.08288,3.347506,87,87,4.889386,0.2835579
0.19,B,0.19,0.05115295,0,0.8485847,0,783.6927,65.64703,0.2619891,0,102.218,124.6589,5.610228,351.838183070596,351.263850892146,20.0951268430604,62.5496420385696,61.59552,3.548457,87,87,5.487778,0.3180377
0.2,B,0.2,0.0541782,0,0.845183,0,785.1971,65.60816,0.2927097,0,102.1989,124.6589,5.614991,352.788330562252,352.212707082051,20.1448542023526,66.0543977616384,65.11765,3.749905,87,87,6.121344,0.3545295
0.21,B,0.21,0.057214,0,0.842595,0,786.7017,65.56921,0.3254251,0,102.1799,124.6589,5.619755,353.739178178499,353.162262374902,20.1946184079057,69.5709468702112,68.64928,3.951851,87,87,6.790179,0.3930383
0.22,B,0.22,0.06026004,0,0.8400693,0,788.159,65.53019,0.3599077,0,102.1608,124.6589,5.624518,354.667535518298,354.089357913134,20.2432053609998,73.0987296088869,72.19017,4.154283,87,87,7.494376,0.433569
0.23,B,0.23,0.06331584,0,0.8376084,0,789.6164,65.49109,0.3961612,0,102.1418,124.6589,5.629282,355.596613096342,355.017172655307,20.2918300165779,76.6375018711953,75.74034,4.357202,87,87,8.234029,0.4761264
0.24,B,0.24,0.06638118,0,0.8352131,0,791.0739,65.45192,0.434192,0,102.1227,124.6589,5.634046,356.526438616777,355.945734257009,20.3404940205746,80.1870547271233,79.2998,4.560607,87,87,9.00923,0.5207154
